都道府県名,団体名拠点名,〒,住所
北海道,地域子育て支援センターくるみの木広場,061-3204,石狩市花川南4条3丁目2番地認定こども園・ひかりのこ
北海道,地域子育て支援センターもくば,061-3209,石狩市花川南9条4丁目83番地花川南認定こども園
北海道,地域子育て支援センターえるむの森,061-3248,石狩市花川東93番地5えるむの森認定こども園
北海道,地域子育て支援センターこあらくらぶ,061-3361,石狩市八幡1丁目433番地14認定こども園くるみ保育園
北海道,べりぃタイム,062-0035,札幌市豊平区西岡5条11丁目2-15ハイツしらかば
北海道,出張べりぃタイムin豊平,062-0035,札幌市豊平区西岡5条11丁目2-15ハイツしらかばA号室
北海道,福住児童会館,062-0041,札幌市豊平区福住1条1丁目5-5
北海道,ちあふる・とよひら,062-0051,札幌市豊平区月寒東1条4丁目2-11豊平区保育・子育て支援センター
北海道,あやめ野児童会館,062-0054,札幌市豊平区月寒東4条10丁目6-10
北海道,豊平児童会館,062-0906,札幌市豊平区豊平6条7丁目1-12
北海道,中の島児童会館,062-0922,札幌市豊平区中の島2条3丁目8-1
北海道,天神山児童会館,062-0931,札幌市豊平区平岸1条19丁目2-55
北海道,平岸児童会館,062-0933,札幌市豊平区平岸3条9丁目15-22
北海道,"豊平区こそだてインフォメーション
「りんごの森」",062-0936,札幌市豊平区平岸6条10丁目豊平区役所
北海道,山の手児童会館,063-0005,西区山の手5条6丁目1-1
北海道,平和児童会館,063-0021,札幌市西区平和1条5丁目1-27
北海道,子育てひろばちいさなおうち,063-0034,札幌市西区西野4条5丁目6-21
北海道,宮の沢児童会館,063-0051,札幌市西区宮の沢1条5丁目11-25
北海道,ちあふる・にし,063-0803,札幌市西区二十四軒3条5丁目6-1市営住宅二十四軒団地４号棟
北海道,"西区こそだてインフォメーション
「さんかくやまベェのへや」",063-0812,札幌市西区琴似2条7丁目西保健センター
北海道,発寒児童会館,063-0827,札幌市西区発寒5条7丁目
北海道,発寒北児童会館,063-0833,札幌市西区発寒13条4丁目1-37
北海道,八軒北児童会館,063-0848,札幌市西区八軒8条西6丁目1-20
北海道,八軒児童会館,063-0867,札幌市西区八軒7条東1丁目1-7
北海道,緑丘児童会館,064-0810,札幌市中央区南10条西23丁目1-5
北海道,幌西児童会館,064-0914,札幌市中央区南14条西16丁目2-15
北海道,山鼻かしわ児童会館,064-0915,札幌市中央区南15条西8丁目1-20
北海道,山鼻児童会館,064-0924,札幌市中央区南24条西13丁目1-1
北海道,"東区こそだてインフォメーション
「タッピールーム」",065-0010,札幌市東区北10条東7丁目東保健センター
北海道,チェリーランド,065-0027,札幌市東区北27条東19丁目元町北２７条会館
北海道,北栄児童会館,065-0030,札幌市東区北30条東6丁目1-15
北海道,苗穂・本町児童会館,065-0042,札幌市東区本町2条7丁目1番30号
北海道,ひので子育て支援センター,066-0015,千歳市青葉5丁目8-8ひので児童館
北海道,しゅくばい子育て支援センター,066-0024,千歳市弥生2丁目7-4しゅくばい児童館
北海道,ちとせっこセンター,066-0028,千歳市花園4丁目3-1
北海道,げんきっこセンター,066-0037,千歳市新富1丁目2-14
北海道,しなの子育て支援センター,066-0039,千歳市富士2丁目3-4しなの児童館
北海道,いずみさわ子育て支援センター,066-0054,千歳市柏陽2丁目2-1いずみさわ児童館
北海道,あんじゅ子育て支援センター,066-0065,千歳市春日町5丁目1-10あんじゅ認定こども園
北海道,ほくおう子育て支援センター,066-0073,千歳市北斗5丁目6-10ほくおう児童館
北海道,アリス子育て支援センター,066-0078,千歳市勇舞1丁目1-1アリス認定こども園
北海道,ほくよう子育て支援センター,066-0078,千歳市勇舞3丁目4-1ほくよう児童館
北海道,せいりゅう子育て支援センター,066-0081,千歳市清流2丁目4-2せいりゅう児童館
北海道,子育て支援センターどんぐり,067-0002,江別市緑町西1丁目81あすかの森認定こども園
北海道,子育て支援センターまんまカフェ,067-0061,江別市上江別東町15-2認定こども園もりのひだまり
北海道,子育て支援センターすくすく,067-0073,江別市弥生町18-5
北海道,"地域子育て支援センター
子育てルーム",068-0013,岩見沢市東町1条8丁目932番地
北海道,子育て総合支援センター,068-0024,岩見沢市4条西3丁目1番地であえｰる岩見沢
北海道,"地域子育て支援センター
子育てサロン",068-0045,岩見沢市北5条西10丁目4番1号
北海道,栗沢認定こども園,068-0125,岩見沢市栗沢町南本町23番地1
北海道,"夕張市拠点複合施設りすた内
ゆうばりっ子ひろば",068-0536,夕張市南清水沢4丁目48番地12夕張市生活福祉課子ども・子育て支援係
北海道,新篠津村子育て支援センター,068-1100,石狩郡新篠津村第47線北13番地
北海道,三笠市子育て支援センター,068-2157,三笠市若松町14-1
北海道,三笠市道営住宅集会所,068-2165,三笠市岡山1081番地10
北海道,南幌町子育て支援センター,069-0235,空知郡南幌町中央3丁目4番26号
北海道,"地域子育て支援センター
おやこカフェチョコミントとパンケーキ",069-0373,岩見沢市幌向南3条2丁目231-91
北海道,子育て支援センターゆうあい,069-0812,江別市幸町8-9愛保育園
北海道,子育てひろばぽこあぽこ,069-0813,江別市野幌町10-1イオンタウン江別
北海道,子育て支援センターぽろっこ,069-0816,江別市野幌住吉町37-7よつば保育園
北海道,子育て支援センターわかば,069-0831,江別市野幌若葉町4-6わかば保育園
北海道,由仁町子育て支援センター,069-1206,夕張郡由仁町本町336番地
北海道,長沼町子育て支援センター,069-1315,夕張郡長沼町南町2丁目3番2号長沼町児童センターぽっくる 
